,Item ID,FinalURL,Identifier
0,10262484,http://www.overstock.com/search?keywords=&taxonomy=sub978&searchtype=guidedNav&additionalKeywords=trees&cid=128510&kid={_mkwid}&TRACK=PSGGL&mkwid={ifsearch:s}{ifcontent:c}281640260282119&pcrid={creative}&pmt={matchtype}&pdv={device}&mtrckid=17394at10470,Experiment_Home Decor_coop #4
1,6027762281,http://www.overstock.com/20592/subcat.html?,API_Test_Campaign_2
2,5976887101,http://www.overstock.com/2737/subcat.html?,API_Test_Campaign_2
3,4470580125,https://www.overstock.com/search?keywords=Antique+Brooches&taxonomy=sub19358&sortOption=Relevance&searchtype=Header&cid=128514,Experiment_Jewelry_Smart Bidding 4
4,6031872072,http://www.overstock.com/?,API_Test_Campaign_2
5,5998042066,http://www.overstock.com/710/cat.html?,API_Test_Campaign_2
6,6027159404,http://www.overstock.com/?,API_Test_Campaign_2
7,4689592957,https://www.overstock.com/search?keywords=&taxonomy=cat4530&refinesize=King&searchtype=guidedNav&additionalKeywords=king&CID=128506,Experiment-Bedding Geo Jan 24
8,5974602365,http://www.overstock.com/711/cat.html?,API_Test_Campaign_2
9,4689609328,https://www.overstock.com/search?keywords=euro+pillow+shams&CID=128506,Experiment-Bedding Geo Jan 24
10,5978865856,http://www.overstock.com/454/dept.html?,API_Test_Campaign_2
11,5974573682,http://www.overstock.com/49/dept.html?,API_Test_Campaign_2
12,5998123619,http://www.overstock.com/1984/subcat.html?,API_Test_Campaign_2
13,3742345003,http://www.overstock.com/Baby/Infant-Car-Seats/20102/subcat.html?sort=Recommended&cid=247234,Generic_Standard_Furniture
14,8391684,http://www.overstock.com/Home-Garden/Bar-Stools/2023/subcat.html?cid=247234,Generic_Standard_Furniture
15,6031259462,http://www.overstock.com/1456/cat.html?,API_Test_Campaign_2
16,5974317788,http://www.overstock.com/?,API_Test_Campaign_2
17,10262484,http://www.overstock.com/search?keywords=&taxonomy=sub978&searchtype=guidedNav&additionalKeywords=trees&cid=128510&kid={_mkwid}&TRACK=PSGGL&mkwid={ifsearch:s}{ifcontent:c}281640260282119&pcrid={creative}&pmt={matchtype}&pdv={device}&mtrckid=17394at10470,Generic_Standard_Home Decor
